"record","time_s","phase","type","message","details_json","obstacle_id","peak_closing_speed_m_s","total_normal_impulse_Ns","peak_tick_impulse_Ns","estimated_peak_load_N","fender_coverage","bottomed_out","penalty_s","contact_duration_s"
"metadata","0","","schema","SI units; estimated loads are solver-dependent","{""schemaVersion"":1,""attempt"":2,""metadata"":{""boat"":{""length"":12.67,""beam"":7.04,""draft"":1.4,""mass"":13691,""engineHp"":45,""inertia"":225000,""hullRadius"":0.72,""engineOffset"":2.8,""engineAft"":-4.5,""maxThrust"":3000,""reverseEfficiency"":0.72,""engineLag"":1.1,""longitudinalDrag"":850,""lateralDrag"":12000,""yawDrag"":110000,""rudderForce"":1600,""maxRudder"":0.5235987755982988,""windArea"":38,""windLever"":1.2},""scenario"":{""version"":2,""name"":""North quay · Berth 01"",""area"":""Fictional training area"",""start"":{""x"":0,""y"":-22,""heading"":0},""target"":{""x"":0,""y"":16,""heading"":0,""width"":10,""length"":17,""positionTolerance"":1.2,""headingTolerance"":0.13962634015954636,""maxSpeed"":0.18,""maxYaw"":0.025,""dwell"":3},""wind"":{""speed"":2,""direction"":1.5707963267948966},""current"":{""x"":0,""y"":0},""collisionPenalty"":5,""obstacles"":[{""id"":""east-quay"",""name"":""East quay"",""x"":12,""y"":16,""width"":10,""length"":42,""kind"":""dock""},{""id"":""north-quay"",""name"":""North quay"",""x"":-3,""y"":34,""width"":40,""length"":6,""kind"":""dock""},{""id"":""west-limit"",""name"":""West training barrier"",""x"":-46,""y"":0,""width"":2,""length"":102,""kind"":""boundary""},{""id"":""east-limit"",""name"":""East training barrier"",""x"":46,""y"":0,""width"":2,""length"":102,""kind"":""boundary""},{""id"":""south-limit"",""name"":""South training barrier"",""x"":0,""y"":-50,""width"":94,""length"":2,""kind"":""boundary""},{""id"":""north-limit"",""name"":""North training barrier"",""x"":0,""y"":50,""width"":94,""length"":2,""kind"":""boundary""}]},""weather"":{""speed"":2,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenderConfig"":{""positions"":[-3,0,3],""halfCoverage"":0.8,""thickness"":0.25,""stiffness"":18000,""damping"":3500,""maxForce"":6000,""crewSeconds"":3},""recorderConfig"":{""events"":4000,""snapshots"":7200,""sampleSeconds"":1,""separationSeconds"":0.5,""impactThreshold"":0.08,""history"":3},""mooringConfig"":{""reach"":6.5,""maxPointSpeed"":0.25,""maxYaw"":0.025,""slack"":0.2,""stiffness"":9000,""damping"":9000,""warningLoad"":7000,""breakLoad"":16000,""breakDelay"":0.4,""securedDwell"":3,""lines"":{""bow"":{""name"":""Bow"",""bollard"":""B01"",""obstacleId"":""east-quay"",""anchor"":{""x"":7.7,""y"":23},""fairlead"":{""x"":3.3,""y"":4.6}},""stern"":{""name"":""Stern"",""bollard"":""B02"",""obstacleId"":""east-quay"",""anchor"":{""x"":7.7,""y"":9},""fairlead"":{""x"":3.3,""y"":-4.6}}}},""fixedStep"":0.016666666666666666,""build"":""milestone-C-mooring""},""units"":{""time"":""s simulation time"",""position"":""m; x east, y north"",""heading"":""rad clockwise from north"",""windDirection"":""rad TOWARD"",""speed"":""m/s"",""impulse"":""N·s (normal only)"",""lineTension"":""N; modeled planar spring/damper load, not measured rope safe working load"",""lineLength"":""m (planar); rest length includes attachment slack"",""estimatedPeakLoadN"":""N = summed tick normal impulse / fixed dt; NOT physical peak force or damage""},""droppedEvents"":0,""droppedSnapshots"":0}","","","","","","","","",""
"event","0","approach","attempt.start","Approach practice started","{""attempt"":2}","","","","","","","","",""
"event","1.1333333333333342","approach","weather.change","weather: {""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0}","{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0}","","","","","","","","",""
"event","1.1333333333333342","approach","engines.change","engines: {""port"":0.2,""starboard"":0}","{""port"":0.2,""starboard"":0}","","","","","","","","",""
"event","1.1333333333333342","approach","engines.change","engines: {""port"":0,""starboard"":0}","{""port"":0,""starboard"":0}","","","","","","","","",""
"event","1.566666666666666","approach","fender.command","starboard fenders: deploy (3s)","{""side"":""starboard"",""target"":true}","","","","","","","","",""
"event","4.566666666666656","approach","fender.complete","starboard fenders deployed","{""side"":""starboard"",""deployed"":true}","","","","","","","","",""
"event","5.316666666666653","approach","engines.change","engines: {""port"":1,""starboard"":0}","{""port"":1,""starboard"":0}","","","","","","","","",""
"event","5.316666666666653","approach","engines.change","engines: {""port"":1,""starboard"":1}","{""port"":1,""starboard"":1}","","","","","","","","",""
"event","29.383333333332946","approach","contact","Contact: North quay","{""obstacleId"":""north-quay"",""obstacleName"":""North quay"",""start"":29.383333333332946,""lastSeen"":31.399999999999498,""duration"":2.016666666666552,""status"":""active"",""peakSpeed"":2.4528385199827687,""totalNormalImpulseNs"":43531.63897301606,""peakTickImpulseNs"":35219.649746613606,""estimatedPeakLoadN"":2113178.9847968165,""fenderCovered"":false,""unprotectedContact"":true,""hullContact"":true,""bottomedOut"":false,""maxCompression"":0,""penaltySeconds"":5,""peakContact"":{""obstacleId"":""north-quay"",""obstacleName"":""North quay"",""side"":""port"",""worldX"":-2.696246319757762,""worldY"":31.038354023682224,""localX"":-2.8011787242279818,""localY"":6.3349990351446275,""normalX"":0,""normalY"":-1,""speed"":2.4528385199827687,""impulse"":22783.90759511161,""covered"":false,""fendersDeployed"":{""port"":false,""starboard"":true},""hullContact"":true,""compression"":0}}","north-quay","2.4528385199827687","43531.63897301606","35219.649746613606","2113178.9847968165","unprotected","false","5","2.016666666666552"
